Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Marcus Smart,27,BOS,37.0,257.0,500,0.514,71,32.3,12.1,3.8,5.9,1.7,0.3,.418,.331,.793,5.6,.116,3.7,1.7,107,smartma01
2,Mikal Bridges,25,PHO,22.0,202.0,500,0.404,82,34.8,14.2,4.2,2.3,1.2,0.4,.534,.369,.834,8.9,.150,3.7,1.1,110,bridgmi01
3,Rudy Gobert,29,UTA,12.0,136.0,500,0.272,66,32.1,15.6,14.7,1.1,0.7,2.1,.713,.000,.690,11.7,.264,4.3,1.7,103,goberru01
4,Bam Adebayo,24,MIA,13.0,128.0,500,0.256,56,32.6,19.1,10.1,3.4,1.4,0.8,.557,.000,.753,7.2,.188,3.5,2.1,104,adebaba01
5,Jaren Jackson Jr.,22,MEM,10.0,99.0,500,0.198,78,27.3,16.3,5.8,1.1,0.9,2.3,.415,.319,.823,5.4,.121,3.7,0.8,106,jacksja02
6,Giannis Antetokounmpo,27,MIL,5.0,58.0,500,0.116,67,32.9,29.9,11.6,5.8,1.1,1.4,.553,.293,.722,12.9,.281,3.7,3.5,106,antetgi01
7,Robert Williams,24,BOS,1.0,8.0,500,0.016,61,29.6,10.0,9.6,2.0,0.9,2.2,.736,.000,.722,9.9,.262,3.9,3.1,102,williro04
8,Jrue Holiday,31,MIL,0.0,6.0,500,0.012,67,33.0,18.3,4.5,6.8,1.6,0.4,.501,.411,.761,6.9,.150,2.4,0.3,112,holidjr01
9,Al Horford,35,BOS,0.0,3.0,500,0.006,69,29.1,10.2,7.7,3.4,0.7,1.3,.467,.336,.842,7.6,.181,3.8,2.9,104,horfoal01
10,Draymond Green,31,GSW,0.0,2.0,500,0.004,46,28.9,7.5,7.3,7.0,1.3,1.1,.525,.296,.659,3.6,.131,2.8,4.6,103,greendr01
11,Matisse Thybulle,24,PHI,0.0,1.0,500,0.002,66,25.5,5.7,2.3,1.1,1.7,1.1,.500,.313,.791,3.7,.107,2.5,3.3,108,thybuma01
1,Rudy Gobert,28,UTA,84.0,464.0,500,0.928,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248,5.2,2.8,101,goberru01
2,Ben Simmons,24,PHI,15.0,287.0,500,0.574,58,32.4,14.3,7.2,6.9,1.6,0.6,.557,.300,.613,6.0,.153,3.3,2.2,106,simmobe01
3,Draymond Green,30,GSW,0.0,76.0,500,0.152,63,31.5,7.0,7.1,8.9,1.7,0.8,.447,.270,.795,4.6,.112,3.4,3.3,106,greendr01
4,Bam Adebayo,23,MIA,1.0,31.0,500,0.062,64,33.5,18.7,9.0,5.4,1.2,1.0,.570,.250,.799,8.8,.197,3.2,2.0,108,adebaba01
5,Giannis Antetokounmpo,26,MIL,0.0,12.0,500,0.024,61,33.0,28.1,11.0,5.9,1.2,1.2,.569,.303,.685,10.2,.244,3.3,2.8,107,antetgi01
6,Clint Capela,26,ATL,0.0,10.0,500,0.020,63,30.1,15.2,14.3,0.8,0.7,2.0,.594,,.573,8.2,.207,3.3,0.0,106,capelca01
7,Joel Embiid,26,PHI,0.0,7.0,500,0.014,51,31.1,28.5,10.6,2.8,1.0,1.4,.513,.377,.859,8.8,.266,3.2,1.2,104,embiijo01
8,Jrue Holiday,30,MIL,0.0,6.0,500,0.012,59,32.3,17.7,4.5,6.1,1.6,0.6,.503,.392,.787,6.6,.165,2.2,0.6,111,holidjr01
9,Myles Turner,24,IND,0.0,3.0,500,0.006,47,31.0,12.6,6.5,1.0,0.9,3.4,.477,.335,.782,3.3,.110,2.2,2.0,108,turnemy01
10,Jimmy Butler,31,MIA,0.0,2.0,500,0.004,52,33.6,21.5,6.9,7.1,2.1,0.3,.497,.245,.863,9.3,.255,2.7,2.3,108,butleji01
11T,Kentavious Caldwell-Pope,27,LAL,0.0,1.0,500,0.002,67,28.4,9.7,2.7,1.9,0.9,0.4,.431,.410,.866,4.2,.107,2.6,1.0,109,caldwke01
11T,Matisse Thybulle,23,PHI,0.0,1.0,500,0.002,65,20.0,3.9,1.9,1.0,1.6,1.1,.420,.301,.444,2.8,.102,2.7,4.5,103,thybuma01
1,Giannis Antetokounmpo,25,MIL,75.0,432.0,500,0.864,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279,5.0,4.1,97,antetgi01
2,Anthony Davis,26,LAL,14.0,200.0,500,0.400,62,34.4,26.1,9.3,3.2,1.5,2.3,.503,.330,.846,11.1,.250,4.4,2.6,102,davisan02
3,Rudy Gobert,27,UTA,6.0,187.0,500,0.374,68,34.3,15.1,13.5,1.5,0.8,2.0,.693,,.630,10.7,.221,4.2,1.9,104,goberru01
4,Ben Simmons,23,PHI,1.0,32.0,500,0.064,57,35.4,16.4,7.8,8.0,2.1,0.6,.580,.286,.621,6.9,.165,3.1,2.3,106,simmobe01
5,Bam Adebayo,22,MIA,2.0,17.0,500,0.034,72,33.6,15.9,10.2,5.1,1.1,1.3,.557,.143,.691,8.5,.168,3.9,2.0,106,adebaba01
6T,Patrick Beverley,31,LAC,1.0,7.0,500,0.014,51,26.3,7.9,5.2,3.6,1.1,0.5,.431,.388,.660,3.6,.128,2.0,2.5,107,beverpa01
6T,Marcus Smart,25,BOS,0.0,7.0,500,0.014,60,32.0,12.9,3.8,4.9,1.7,0.5,.375,.347,.836,4.5,.112,2.8,1.4,107,smartma01
8T,Andre Drummond,26,TOT,1.0,5.0,500,0.010,57,33.0,17.7,15.2,2.7,1.9,1.6,.533,.143,.575,4.2,.108,3.6,1.1,103,drumman01
8T,Kawhi Leonard,28,LAC,0.0,5.0,500,0.010,57,32.4,27.1,7.1,4.9,1.8,0.6,.470,.378,.886,8.7,.226,3.3,2.4,104,leonaka01
10,Brook Lopez,31,MIL,0.0,4.0,500,0.008,68,26.7,12.0,4.6,1.5,0.7,2.4,.435,.314,.836,5.5,.145,4.1,2.5,100,lopezbr01
11,Hassan Whiteside,30,POR,0.0,3.0,500,0.006,67,30.0,15.5,13.5,1.2,0.4,2.9,.621,.571,.686,8.5,.204,3.0,0.7,107,whiteha01
12,Jarrett Allen,21,BRK,0.0,1.0,500,0.002,70,26.5,11.1,9.6,1.6,0.6,1.3,.649,.000,.633,8.2,.212,2.9,1.0,106,allenja01
1,Rudy Gobert,26,UTA,65.0,411.0,500,0.822,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268,5.7,2.5,100,goberru01
2,Giannis Antetokounmpo,24,MIL,26.0,280.0,500,0.560,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,.256,.729,14.4,.292,5.5,4.1,99,antetgi01
3,Paul George,28,OKC,6.0,150.0,500,0.300,77,36.9,28.0,8.2,4.1,2.2,0.4,.438,.386,.839,11.9,.201,4.9,1.6,105,georgpa01
4,Joel Embiid,24,PHI,1.0,26.0,500,0.052,64,33.7,27.5,13.6,3.7,0.7,1.9,.484,.300,.804,8.7,.194,3.8,0.9,104,embiijo01
5,Myles Turner,22,IND,0.0,15.0,500,0.030,74,28.6,13.3,7.2,1.6,0.8,2.7,.487,.388,.736,6.3,.144,4.4,2.4,101,turnemy01
6T,Draymond Green,28,GSW,1.0,6.0,500,0.012,66,31.3,7.4,7.3,6.9,1.4,1.1,.445,.285,.692,4.3,.100,3.2,2.7,106,greendr01
6T,Kawhi Leonard,27,TOR,1.0,6.0,500,0.012,60,34.0,26.6,7.3,3.3,1.8,0.4,.496,.371,.854,9.5,.224,3.4,1.1,105,leonaka01
8,Marcus Smart,24,BOS,0.0,4.0,500,0.008,80,27.5,8.9,2.9,4.0,1.8,0.4,.422,.364,.806,5.3,.116,3.1,2.0,107,smartma01
9T,Jarrett Allen,20,BRK,0.0,1.0,500,0.002,80,26.2,10.9,8.4,1.4,0.5,1.5,.590,.133,.709,7.6,.175,3.3,1.4,106,allenja01
9T,Patrick Beverley,30,LAC,0.0,1.0,500,0.002,78,27.4,7.6,5.0,3.8,0.9,0.6,.407,.397,.780,4.8,.108,2.0,1.2,111,beverpa01
1,Rudy Gobert,25,UTA,89.0,466.0,505,0.923,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,,.682,8.1,.214,3.9,2.5,99,goberru01
2,Joel Embiid,23,PHI,2.0,163.0,505,0.323,63,30.3,22.9,11.0,3.2,0.6,1.8,.483,.308,.769,6.2,.155,3.8,1.3,100,embiijo01
3,Anthony Davis,24,NOP,5.0,139.0,505,0.275,75,36.4,28.1,11.1,2.3,1.5,2.6,.534,.340,.828,13.7,.241,4.9,1.4,102,davisan02
4,Paul George,27,OKC,2.0,38.0,505,0.075,79,36.6,21.9,5.7,3.3,2.0,0.5,.430,.401,.822,8.9,.147,3.9,0.6,106,georgpa01
5,Al Horford,31,BOS,1.0,37.0,505,0.073,72,31.6,12.9,7.4,4.7,0.6,1.1,.489,.429,.783,7.8,.165,3.8,2.0,103,horfoal01
6,Draymond Green,27,GSW,1.0,20.0,505,0.040,70,32.7,11.0,7.6,7.3,1.4,1.3,.454,.301,.775,6.1,.127,3.4,1.9,105,greendr01
7,Jrue Holiday,27,NOP,1.0,11.0,505,0.022,81,36.1,19.0,4.5,6.0,1.5,0.8,.494,.337,.786,7.1,.116,2.9,0.3,109,holidjr01
8,Robert Covington,27,PHI,0.0,8.0,505,0.016,80,31.7,12.6,5.4,2.0,1.7,0.9,.413,.369,.853,6.1,.116,4.5,1.7,103,covinro01
9,Kevin Durant,29,GSW,0.0,7.0,505,0.014,68,34.2,26.4,6.8,5.4,0.7,1.8,.516,.419,.889,10.4,.215,2.9,0.6,107,duranke01
10,Jaylen Brown,21,BOS,0.0,5.0,505,0.010,70,30.7,14.5,4.9,1.6,1.0,0.4,.465,.395,.644,4.5,.100,3.2,0.3,105,brownja02
11,Klay Thompson,27,GSW,0.0,4.0,505,0.008,73,34.3,20.0,3.8,2.5,0.8,0.5,.488,.440,.837,4.9,.094,1.8,-2.1,111,thompkl01
12T,Steven Adams,24,OKC,0.0,3.0,505,0.006,76,32.7,13.9,9.0,1.2,1.2,1.0,.629,.000,.559,9.7,.187,3.0,-0.6,107,adamsst01
12T,Jimmy Butler,28,MIN,0.0,3.0,505,0.006,59,36.7,22.2,5.3,4.9,2.0,0.4,.474,.350,.854,8.9,.198,1.8,0.7,110,butleji01
14,Clint Capela,23,HOU,0.0,2.0,505,0.004,74,27.5,13.9,10.8,0.9,0.8,1.9,.652,.000,.560,10.2,.242,4.1,1.0,101,capelca01
15T,Andre Drummond,24,DET,0.0,1.0,505,0.002,78,33.7,15.0,16.0,3.0,1.5,1.6,.529,.000,.605,10.3,.189,5.7,1.7,99,drumman01
15T,Jusuf Nurkić,23,POR,0.0,1.0,505,0.002,79,26.4,14.3,9.0,1.8,0.8,1.4,.505,.000,.630,4.7,.108,3.9,1.1,101,nurkiju01
15T,Victor Oladipo,25,IND,0.0,1.0,505,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155,4.0,1.7,104,oladivi01
1,Draymond Green,26,GSW,73.0,434.0,500,0.868,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,.308,.709,8.2,.160,5.4,3.9,99,greendr01
2,Rudy Gobert,24,UTA,16.0,269.0,500,0.538,81,33.9,14.0,12.8,1.2,0.6,2.6,.661,.000,.653,14.3,.250,6.0,2.2,99,goberru01
3,Kawhi Leonard,25,SAS,11.0,182.0,500,0.364,74,33.4,25.5,5.8,3.5,1.8,0.7,.485,.380,.880,13.6,.264,4.7,2.2,102,leonaka01
4,Robert Covington,26,PHI,0.0,4.0,500,0.008,67,31.6,12.9,6.5,1.5,1.9,1.0,.399,.333,.822,3.1,.071,3.2,1.4,105,covinro01
5T,LeBron James,32,CLE,0.0,3.0,500,0.006,74,37.8,26.4,8.6,8.7,1.2,0.6,.548,.363,.674,12.9,.221,3.0,1.2,108,jamesle01
5T,Andre Roberson,25,OKC,0.0,3.0,500,0.006,79,30.1,6.6,5.1,1.0,1.2,1.0,.464,.245,.423,4.2,.085,3.1,1.4,106,roberan03
5T,Hassan Whiteside,27,MIA,0.0,3.0,500,0.006,77,32.6,17.0,14.1,0.7,0.7,2.1,.557,,.628,9.5,.181,5.3,0.5,100,whiteha01
8T,LaMarcus Aldridge,31,SAS,0.0,1.0,500,0.002,72,32.4,17.3,7.3,1.9,0.6,1.2,.477,.411,.812,7.2,.149,3.7,0.1,104,aldrila01
8T,Patrick Beverley,28,HOU,0.0,1.0,500,0.002,67,30.7,9.5,5.9,4.2,1.5,0.4,.420,.382,.768,5.3,.123,2.4,1.4,108,beverpa01
1,Kawhi Leonard,24,SAS,84.0,547.0,650,0.842,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,5.5,3.0,96,leonaka01
2,Draymond Green,25,GSW,44.0,421.0,650,0.648,81,34.7,14.0,9.5,7.4,1.5,1.4,.490,.388,.696,11.1,.190,5.1,2.9,100,greendr01
3,Hassan Whiteside,26,MIA,2.0,83.0,650,0.128,73,29.1,14.2,11.8,0.4,0.6,3.7,.606,,.650,10.3,.233,5.3,2.4,95,whiteha01
4,DeAndre Jordan,27,LAC,0.0,50.0,650,0.077,77,33.7,12.7,13.8,1.2,0.7,2.3,.703,.000,.430,11.5,.213,5.5,1.3,98,jordade01
5,Paul Millsap,30,ATL,0.0,21.0,650,0.032,81,32.7,17.1,9.0,3.3,1.8,1.7,.470,.319,.757,10.1,.183,6.0,2.7,96,millspa01
6,Avery Bradley,25,BOS,0.0,14.0,650,0.022,76,33.4,15.2,2.9,2.1,1.5,0.3,.447,.361,.780,4.8,.090,2.8,0.3,106,bradlav01
7,Rudy Gobert,23,UTA,0.0,13.0,650,0.020,61,31.7,9.1,11.0,1.5,0.7,2.2,.559,,.569,6.4,.160,3.8,2.2,99,goberru01
8,Tony Allen,34,MEM,0.0,5.0,650,0.008,64,25.3,8.4,4.6,1.1,1.7,0.3,.458,.357,.652,2.4,.072,1.9,1.2,105,allento01
9,Anthony Davis,22,NOP,0.0,4.0,650,0.006,61,35.5,24.3,10.3,1.9,1.3,2.0,.493,.324,.758,7.2,.160,2.8,0.4,104,davisan02
10,Andre Drummond,22,DET,0.0,3.0,650,0.005,81,32.9,16.2,14.8,0.8,1.5,1.4,.521,.333,.355,7.4,.133,5.5,0.3,98,drumman01
11T,Jimmy Butler,26,CHI,0.0,2.0,650,0.003,67,36.9,20.9,5.3,4.8,1.6,0.6,.454,.312,.832,9.1,.177,2.7,1.2,106,butleji01
11T,LeBron James,31,CLE,0.0,2.0,650,0.003,76,35.6,25.3,7.4,6.8,1.4,0.6,.520,.309,.731,13.6,.242,4.0,2.0,103,jamesle01
13T,Trevor Ariza,30,HOU,0.0,1.0,650,0.002,81,35.3,12.7,4.5,2.3,2.0,0.3,.416,.371,.783,5.4,.090,2.3,0.3,108,arizatr01
13T,Jae Crowder,25,BOS,0.0,1.0,650,0.002,73,31.6,14.2,5.1,1.8,1.7,0.5,.443,.336,.820,7.3,.152,3.5,1.4,102,crowdja01
13T,Al Horford,29,ATL,0.0,1.0,650,0.002,82,32.1,15.2,7.3,3.2,0.8,1.5,.505,.344,.798,9.4,.172,4.5,1.6,101,horfoal01
13T,Kyle Lowry,29,TOR,0.0,1.0,650,0.002,77,37.0,21.2,4.7,6.4,2.1,0.4,.427,.388,.811,11.6,.196,3.7,1.1,104,lowryky01
13T,Chris Paul,30,LAC,0.0,1.0,650,0.002,74,32.7,19.5,4.2,10.0,2.1,0.2,.462,.371,.896,12.7,.253,3.5,2.0,103,paulch01
1,Kawhi Leonard,23,SAS,37.0,333.0,645,0.516,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,4.4,3.1,96,leonaka01
2,Draymond Green,24,GSW,45.0,317.0,645,0.491,79,31.5,11.7,8.2,3.7,1.6,1.3,.443,.337,.660,8.5,.163,5.2,2.8,97,greendr01
3,DeAndre Jordan,26,LAC,32.0,261.0,645,0.405,82,34.4,11.5,15.0,0.7,1.0,2.2,.710,.250,.397,12.8,.217,5.4,0.7,98,jordade01
4,Anthony Davis,21,NOP,11.0,107.0,645,0.166,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274,4.2,2.3,100,davisan02
5,Rudy Gobert,22,UTA,2.0,33.0,645,0.051,82,26.3,8.4,9.5,1.3,0.8,2.3,.604,.000,.623,9.3,.206,4.3,2.5,98,goberru01
6,Andrew Bogut,30,GSW,0.0,31.0,645,0.048,67,23.6,6.3,8.1,2.7,0.6,1.7,.563,,.524,5.2,.159,3.4,3.3,97,bogutan01
7,Tony Allen,33,MEM,1.0,29.0,645,0.045,63,26.2,8.6,4.4,1.4,2.0,0.5,.495,.345,.627,4.1,.119,3.2,3.1,98,allento01
8,Tim Duncan,38,SAS,1.0,12.0,645,0.019,77,28.9,13.9,9.1,3.0,0.8,2.0,.512,.286,.740,9.6,.207,4.7,2.8,97,duncati01
9,Michael Kidd-Gilchrist,21,CHO,0.0,9.0,645,0.014,55,28.9,10.9,7.6,1.4,0.5,0.7,.465,,.701,3.8,.114,2.2,0.6,103,kiddgmi01
10T,Jimmy Butler,25,CHI,0.0,7.0,645,0.011,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214,3.0,1.2,104,butleji01
10T,Marc Gasol,30,MEM,0.0,7.0,645,0.011,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182,4.7,2.4,100,gasolma01
12,Joakim Noah,29,CHI,0.0,4.0,645,0.006,67,30.6,7.2,9.6,4.7,0.7,1.1,.445,.000,.603,5.6,.130,3.1,2.0,102,noahjo01
13T,Trevor Ariza,29,HOU,0.0,3.0,645,0.005,82,35.7,12.8,5.6,2.5,1.9,0.2,.402,.350,.853,6.6,.108,3.9,1.1,103,arizatr01
